failure_id,family_id,family_name,failure_name,trigger_conditions,observable_symptoms,primary_level,primary_method,fallback_level,fallback_method,verification_metrics,evidence_strength,empirical_confidence,render_campaign_status
failure://h/constant_speed_motion/1,H,"Balance, support, weight, and momentum",Constant-speed motion without acceleration profile,"A fall, swing, throw, or recoil is described only by endpoints.",Motion traverses the path at visually uniform speed.,L2,"Encode anticipation, acceleration, apex, deceleration, overshoot, and settle timing; verify phase durations.",L6,"Move the unstable effect, shake, audio event, graphic discontinuity, or exact geometry to deterministic postproduction/compositing.",metric_foot_slip_distance metric_landing_stability metric_momentum_discontinuity metric_support_state_consistency,supported by cross-model benchmarks/control research; provider-specific effect size not yet measured by CPCS,moderate,not_run_no_authorized_provider_credentials_or_budget_in_session
failure://h/impossible_recovery/1,H,"Balance, support, weight, and momentum",Impossible recovery or balance regain,"An actor lands off-center, is struck, or changes direction sharply.",The actor instantly returns to a stable pose without corrective steps or support transfer.,L5,"Reserve recovery time, specify corrective support steps, or end the shot at impact and generate recovery separately.",L6,"Move the unstable effect, shake, audio event, graphic discontinuity, or exact geometry to deterministic postproduction/compositing.",metric_foot_slip_distance metric_landing_stability metric_momentum_discontinuity metric_support_state_consistency,supported by cross-model benchmarks/control research; provider-specific effect size not yet measured by CPCS,high,not_run_no_authorized_provider_credentials_or_budget_in_session
failure://i/solid_fluid_boundary_error/1,I,"Fluid, cloth, hair, debris, and material interaction",Solid-fluid boundary error,"An actor enters, strikes, stands on, or emerges from water/mud/snow.",Fluid behaves as a rigid plane or fails to admit/displace the body.,L5,"Separate pre-contact, contact/effect, and submerged/post-contact shots; use source/control media or composite the fluid interaction.",L6,"Move the unstable effect, shake, audio event, graphic discontinuity, or exact geometry to deterministic postproduction/compositing.",metric_effect_origin_error metric_effect_persistence_error metric_material_response_consistency metric_surface_topology_stability,supported by cross-model benchmarks/control research; provider-specific effect size not yet measured by CPCS,high,not_run_no_authorized_provider_credentials_or_budget_in_session
failure://i/splash_before_displacement/1,I,"Fluid, cloth, hair, debris, and material interaction",Splash before displacement,A fast body or object approaches water and the splash is salient in the prompt.,The splash begins before surface contact.,L2,"Bind surface contact, displacement onset, splash onset, and ripple onset to ordered causal events.",L6,"Move the unstable effect, shake, audio event, graphic discontinuity, or exact geometry to deterministic postproduction/compositing.",metric_effect_origin_error metric_effect_persistence_error metric_material_response_consistency metric_reaction_latency metric_surface_topology_stability,supported by cross-model benchmarks/control research; provider-specific effect size not yet measured by CPCS,high,not_run_no_authorized_provider_credentials_or_budget_in_session
failure://i/splash_origin_drift/1,I,"Fluid, cloth, hair, debris, and material interaction",Splash or water column follows the actor,An actor dives away while another impact creates a water column.,The effect follows the hidden actor or originates from the wrong point.,L4,Track the impact point with a mask/point and composite or regenerate the localized effect independently.,L6,"Move the unstable effect, shake, audio event, graphic discontinuity, or exact geometry to deterministic postproduction/compositing.",metric_effect_origin_error metric_effect_persistence_error metric_material_response_consistency metric_surface_topology_stability,supported by cross-model benchmarks/control research; provider-specific effect size not yet measured by CPCS,high,not_run_no_authorized_provider_credentials_or_budget_in_session
failure://i/submerged_subject_disappearance/1,I,"Fluid, cloth, hair, debris, and material interaction",Submerged subject disappearance,A character passes below an opaque or reflective surface.,"The subject vanishes permanently, duplicates, or returns without a continuous path.",L4,"Keep bubbles, silhouette, refraction cue, mask, or trajectory control; otherwise cut on entry and establish the underwater shot from a reference state.",L6,"Move the unstable effect, shake, audio event, graphic discontinuity, or exact geometry to deterministic postproduction/compositing.",metric_effect_origin_error metric_effect_persistence_error metric_hidden_path_consistency metric_material_response_consistency metric_surface_topology_stability,supported by cross-model benchmarks/control research; provider-specific effect size not yet measured by CPCS,high,not_run_no_authorized_provider_credentials_or_budget_in_session
failure://i/material_effect_anatomy_spawn/1,I,"Fluid, cloth, hair, debris, and material interaction",Material effect spawns anatomy or duplicate faces,"Dense splash, smoke, cloth, hair, or debris overlaps a face/body.","Faces, hands, limbs, or bodies appear inside the effect.",L6,Render the effect as a separate layer or add it in post; preserve actor masks and verify actor count before compositing.,L8,Use a provider/model with an officially documented control input matching the missing constraint and rerun qualification.,metric_actor_count_consistency metric_effect_origin_error metric_effect_persistence_error metric_material_response_consistency metric_surface_topology_stability,supported by cross-model benchmarks/control research; provider-specific effect size not yet measured by CPCS,moderate,not_run_no_authorized_provider_credentials_or_budget_in_session
failure://i/environment_material_state_drift/1,I,"Fluid, cloth, hair, debris, and material interaction",Material topology or persistence drift,"Waterline, mud, snow, debris, cloth damage, or wetness persists across time/cuts.","Surface height, ripple center, wetness, tear, or debris state resets or moves.",L3,"Record material state deltas, anchor effect regions, and use continuity plates or postproduction for persistent damage/wetness.",L6,"Move the unstable effect, shake, audio event, graphic discontinuity, or exact geometry to deterministic postproduction/compositing.",metric_effect_origin_error metric_effect_persistence_error metric_material_response_consistency metric_surface_topology_stability,supported by cross-model benchmarks/control research; provider-specific effect size not yet measured by CPCS,moderate,not_run_no_authorized_provider_credentials_or_budget_in_session
failure://j/pan_becomes_actor_motion/1,J,Camera and actor-motion entanglement,Camera pan becomes actor translation,The prompt combines a pan with actor locomotion or static blocking.,The actor slides across the world or background instead of the camera rotating.,L4,Represent camera pose and actor world trajectory separately; use camera-control media or source-video motion.,L6,"Move the unstable effect, shake, audio event, graphic discontinuity, or exact geometry to deterministic postproduction/compositing.",metric_actor_world_trajectory metric_camera_motion_agreement metric_screen_direction_consistency metric_zoom_translation_disambiguation,supported by cross-model benchmarks/control research; provider-specific effect size not yet measured by CPCS,high,not_run_no_authorized_provider_credentials_or_budget_in_session
failure://j/tracking_freezes_locomotion/1,J,Camera and actor-motion entanglement,Tracking shot freezes actor locomotion,A camera should follow a moving actor at stable framing.,"The actor appears stationary while the background moves, or gait collapses.",L4,Encode world locomotion and camera follow as separate tracks; verify foot motion and background parallax.,L6,"Move the unstable effect, shake, audio event, graphic discontinuity, or exact geometry to deterministic postproduction/compositing.",metric_actor_world_trajectory metric_camera_motion_agreement metric_screen_direction_consistency metric_zoom_translation_disambiguation,supported by cross-model benchmarks/control research; provider-specific effect size not yet measured by CPCS,high,not_run_no_authorized_provider_credentials_or_budget_in_session
failure://j/orbit_reverses_screen_direction/1,J,Camera and actor-motion entanglement,Orbit reverses screen direction,The camera orbits around two actors during directional action.,Left-to-right action flips or roles swap.,L5,Do not combine an orbit with exact two-actor choreography unless camera-pose control is available; split or re-establish the axis.,L6,"Move the unstable effect, shake, audio event, graphic discontinuity, or exact geometry to deterministic postproduction/compositing.",metric_actor_world_trajectory metric_camera_motion_agreement metric_screen_direction_consistency metric_zoom_translation_disambiguation,supported by cross-model benchmarks/control research; provider-specific effect size not yet measured by CPCS,high,not_run_no_authorized_provider_credentials_or_budget_in_session
failure://j/zoom_dolly_confusion/1,J,Camera and actor-motion entanglement,Zoom and dolly confusion,"The prompt asks for zoom, push-in, dolly, or Hitchcock-style motion.",Perspective/parallax and subject scale change incorrectly.,L4,"Use explicit camera intrinsics/extrinsics or a source/control video; validate parallax, subject scale, and background expansion separately.",L6,"Move the unstable effect, shake, audio event, graphic discontinuity, or exact geometry to deterministic postproduction/compositing.",metric_actor_world_trajectory metric_camera_motion_agreement metric_screen_direction_consistency metric_zoom_translation_disambiguation,supported by cross-model benchmarks/control research; provider-specific effect size not yet measured by CPCS,high,not_run_no_authorized_provider_credentials_or_budget_in_session
failure://j/impact_shake_deforms_subject/1,J,Camera and actor-motion entanglement,Impact shake deforms or teleports subjects,Handheld shake or impact impulse coincides with contact/effect.,"Bodies warp, location jumps, or motion blur rewrites identity.",L6,"Generate a stable plate and add camera shake in post, or apply controlled V2V to the final shot.",L8,Use a provider/model with an officially documented control input matching the missing constraint and rerun qualification.,metric_actor_world_trajectory metric_camera_motion_agreement metric_identity_continuity metric_screen_direction_consistency metric_zoom_translation_disambiguation,supported by cross-model benchmarks/control research; provider-specific effect size not yet measured by CPCS,high,not_run_no_authorized_provider_credentials_or_budget_in_session
failure://j/motion_blur_identity_loss/1,J,Camera and actor-motion entanglement,Motion blur destroys identity and geometry,"Whip pans, fast limbs, smears, or low shutter cues cover key frames.","Faces/limbs melt, duplicate, or reconnect incorrectly.",L5,"Keep the decisive contact/recovery readable, shorten blur intervals, add authored blur/smears in post, or provide source motion.",L6,"Move the unstable effect, shake, audio event, graphic discontinuity, or exact geometry to deterministic postproduction/compositing.",metric_actor_world_trajectory metric_camera_motion_agreement metric_identity_continuity metric_screen_direction_consistency metric_zoom_translation_disambiguation,supported by cross-model benchmarks/control research; provider-specific effect size not yet measured by CPCS,high,not_run_no_authorized_provider_credentials_or_budget_in_session
failure://k/flash_misread_as_cut/1,K,"Cuts, flashes, smears, and scene reset",Impact flash misread as a camera cut,A full-frame white/black/monochrome flash interrupts action.,"The model resets scene, identity, pose, or location after the flash.",L6,Generate continuous action without the flash and insert a one-frame graphic flash in post; verify pre/post state identity.,L8,Use a provider/model with an officially documented control input matching the missing constraint and rerun qualification.,metric_cut_flash_classification metric_graphic_discontinuity_recovery metric_post_cut_state_consistency metric_shot_boundary_error,supported by cross-model benchmarks/control research; provider-specific effect size not yet measured by CPCS,high,not_run_no_authorized_provider_credentials_or_budget_in_session
failure://k/smoke_splash_wipe_scene_reset/1,K,"Cuts, flashes, smears, and scene reset",Effect wipe causes scene reset,"Smoke, splash, speed lines, or transformation effects cover the whole frame.","A new background, costume, pose, or actor arrangement appears.",L5,Treat the wipe as an edit boundary with explicit outgoing/incoming state or composite it between separately verified plates.,L6,"Move the unstable effect, shake, audio event, graphic discontinuity, or exact geometry to deterministic postproduction/compositing.",metric_cut_flash_classification metric_graphic_discontinuity_recovery metric_post_cut_state_consistency metric_shot_boundary_error,supported by cross-model benchmarks/control research; provider-specific effect size not yet measured by CPCS,high,not_run_no_authorized_provider_credentials_or_budget_in_session
failure://k/hard_cut_state_reset/1,K,"Cuts, flashes, smears, and scene reset",Hard cut resets world state,A multi-shot prompt revisits actors/objects after a cut.,"Object, injury, wardrobe, direction, or environment state regresses.",L3,"Use shot-level state snapshots, shared references, and explicit continuity inheritance; generate shots separately when provider multi-shot control is weak.",L6,"Move the unstable effect, shake, audio event, graphic discontinuity, or exact geometry to deterministic postproduction/compositing.",metric_cut_flash_classification metric_graphic_discontinuity_recovery metric_post_cut_state_consistency metric_shot_boundary_error,supported by cross-model benchmarks/control research; provider-specific effect size not yet measured by CPCS,high,not_run_no_authorized_provider_credentials_or_budget_in_session
failure://k/whip_pan_teleport/1,K,"Cuts, flashes, smears, and scene reset",Whip-pan teleport,A whip pan bridges positions or shots.,"Actors teleport, swap sides, or disappear during the blur.",L6,"Create outgoing and incoming plates with matched motion direction, then add the whip blur/edit in post.",L8,Use a provider/model with an officially documented control input matching the missing constraint and rerun qualification.,metric_cut_flash_classification metric_graphic_discontinuity_recovery metric_post_cut_state_consistency metric_screen_direction_consistency metric_shot_boundary_error,supported by cross-model benchmarks/control research; provider-specific effect size not yet measured by CPCS,high,not_run_no_authorized_provider_credentials_or_budget_in_session
failure://k/transformation_burst_unintended_redesign/1,K,"Cuts, flashes, smears, and scene reset",Transformation burst redesigns forbidden attributes,A transformation or energy burst permits only a specific state change.,"Identity, costume, body, or environment changes beyond the authorized delta.",L2,Declare allowed and forbidden state deltas and provide the required post-transform reference frame; verify every locked attribute.,L6,"Move the unstable effect, shake, audio event, graphic discontinuity, or exact geometry to deterministic postproduction/compositing.",metric_cut_flash_classification metric_graphic_discontinuity_recovery metric_post_cut_state_consistency metric_shot_boundary_error metric_state_transition_accuracy,supported by cross-model benchmarks/control research; provider-specific effect size not yet measured by CPCS,moderate,not_run_no_authorized_provider_credentials_or_budget_in_session
failure://k/multi_shot_temporal_jump/1,K,"Cuts, flashes, smears, and scene reset",Multi-shot temporal jump or duplicate beat,A model generates several shots inside one clip.,"Events repeat, time skips, or a shot shows a contradictory phase.",L5,Assign each shot a closed event interval and handoff state; compile/generate separately if the provider cannot expose shot-level control.,L6,"Move the unstable effect, shake, audio event, graphic discontinuity, or exact geometry to deterministic postproduction/compositing.",metric_action_graph_agreement metric_cut_flash_classification metric_graphic_discontinuity_recovery metric_post_cut_state_consistency metric_shot_boundary_error,supported by cross-model benchmarks/control research; provider-specific effect size not yet measured by CPCS,high,not_run_no_authorized_provider_credentials_or_budget_in_session
failure://l/extra_missing_limbs/1,L,Anatomy and stylization recovery,Extra or missing limbs,"Fast action, overlap, blur, cloth, hair, or foreshortening hides joints.","An extra limb appears, a limb disappears, or ownership changes.",L4,"Use pose/source-video guidance, maintain limb separability, and reserve anatomy recovery checkpoints.",L6,"Move the unstable effect, shake, audio event, graphic discontinuity, or exact geometry to deterministic postproduction/compositing.",metric_anatomical_validity metric_deformation_duration metric_recovery_frame_accuracy metric_silhouette_readability,supported by cross-model benchmarks/control research; provider-specific effect size not yet measured by CPCS,high,not_run_no_authorized_provider_credentials_or_budget_in_session
failure://l/joint_inversion/1,L,Anatomy and stylization recovery,Joint inversion or impossible articulation,"Extreme pose, rapid rotation, or stylized perspective challenges joint geometry.","Elbows, knees, wrists, or spine bend incorrectly.",L4,Use pose constraints or source motion and verify joint-angle plausibility; simplify the pose when detectors and humans disagree.,L6,"Move the unstable effect, shake, audio event, graphic discontinuity, or exact geometry to deterministic postproduction/compositing.",metric_anatomical_validity metric_deformation_duration metric_recovery_frame_accuracy metric_silhouette_readability,supported by cross-model benchmarks/control research; provider-specific effect size not yet measured by CPCS,high,not_run_no_authorized_provider_credentials_or_budget_in_session
failure://l/persistent_smear_anatomy/1,L,Anatomy and stylization recovery,Smear deformation persists beyond the accent,Anime smear frames or motion trails are requested.,"Elongated limbs, duplicated features, or distorted body shapes remain after the intended smear.",L3,Define deformation onset/end and a required anatomy recovery keyframe; add one-frame smears in post when exact duration is required.,L6,"Move the unstable effect, shake, audio event, graphic discontinuity, or exact geometry to deterministic postproduction/compositing.",metric_anatomical_validity metric_deformation_duration metric_recovery_frame_accuracy metric_silhouette_readability,supported by cross-model benchmarks/control research; provider-specific effect size not yet measured by CPCS,moderate,not_run_no_authorized_provider_credentials_or_budget_in_session
failure://l/perspective_deformation_persists/1,L,Anatomy and stylization recovery,Perspective enlargement persists,"A fist, foot, or face moves close to lens for a stylized accent.",The enlarged body part stays disproportionate after moving away.,L3,"Bind deformation to camera distance and interval, then require a normal-proportion recovery state.",L6,"Move the unstable effect, shake, audio event, graphic discontinuity, or exact geometry to deterministic postproduction/compositing.",metric_anatomical_validity metric_deformation_duration metric_recovery_frame_accuracy metric_silhouette_readability,supported by cross-model benchmarks/control research; provider-specific effect size not yet measured by CPCS,moderate,not_run_no_authorized_provider_credentials_or_budget_in_session
failure://l/failed_anatomy_reconnection/1,L,Anatomy and stylization recovery,Failed anatomy reconnection after occlusion,Limbs cross behind body/cloth/effects and re-emerge.,A limb reconnects to the wrong side or body.,L4,"Use joint/pose tracks, partial visibility anchors, and a post-occlusion anatomy checkpoint.",L6,"Move the unstable effect, shake, audio event, graphic discontinuity, or exact geometry to deterministic postproduction/compositing.",metric_anatomical_validity metric_deformation_duration metric_recovery_frame_accuracy metric_silhouette_readability,supported by cross-model benchmarks/control research; provider-specific effect size not yet measured by CPCS,high,not_run_no_authorized_provider_credentials_or_budget_in_session
failure://l/stylization_readability_loss/1,L,Anatomy and stylization recovery,Stylization destroys action readability,"Smears, holds, speed lines, flashes, and deformation stack in the same interval.","The primary pose, target, direction, or contact cannot be read.",L5,"Retain one readable setup, contact/apex, and recovery pose; distribute accents across shots or post layers.",L6,"Move the unstable effect, shake, audio event, graphic discontinuity, or exact geometry to deterministic postproduction/compositing.",metric_anatomical_validity metric_deformation_duration metric_recovery_frame_accuracy metric_silhouette_readability,supported by cross-model benchmarks/control research; provider-specific effect size not yet measured by CPCS,moderate,not_run_no_authorized_provider_credentials_or_budget_in_session
failure://m/structured_format_not_parsed/1,M,Prompt and serialization,Structured serialization treated as ordinary text,"XML, YAML, or JSON is submitted to an endpoint that documents only a prompt string.","Field boundaries, nesting, keys, or numeric values are ignored inconsistently.",L1,"Keep JSON as CPCS authority, compile one concise provider-native prose prompt, and treat structured serialization as an experiment unless officially supported.",L6,"Move the unstable effect, shake, audio event, graphic discontinuity, or exact geometry to deterministic postproduction/compositing.",metric_field_projection_coverage metric_hard_lock_retention metric_prompt_semantic_equivalence metric_prompt_truncation_loss,supported by cross-model benchmarks/control research; provider-specific effect size not yet measured by CPCS,high,not_run_no_authorized_provider_credentials_or_budget_in_session
failure://m/duplicate_representation_attention_collision/1,M,Prompt and serialization,Duplicate-format attention collision,"The same semantics are repeated in prose, XML, JSON, and YAML.","Instructions conflict, fields are omitted, or motion becomes stiff/averaged.",L1,Compile exactly one provider-facing representation plus non-submitted verification metadata; A/B-test hybrids instead of assuming benefit.,L6,"Move the unstable effect, shake, audio event, graphic discontinuity, or exact geometry to deterministic postproduction/compositing.",metric_field_projection_coverage metric_hard_lock_retention metric_instruction_coverage metric_prompt_semantic_equivalence metric_prompt_truncation_loss,supported by cross-model benchmarks/control research; provider-specific effect size not yet measured by CPCS,moderate,not_run_no_authorized_provider_credentials_or_budget_in_session
failure://m/numeric_control_ignored/1,M,Prompt and serialization,Exact numeric values ignored or approximated,"Timestamps, angles, speeds, coordinates, or distances are placed only in text.",The output follows qualitative intent but not the requested numbers.,L4,Project numbers to provider controls when documented; otherwise retain them for verification and use control media or postproduction.,L6,"Move the unstable effect, shake, audio event, graphic discontinuity, or exact geometry to deterministic postproduction/compositing.",metric_field_projection_coverage metric_hard_lock_retention metric_prompt_semantic_equivalence metric_prompt_truncation_loss,supported by cross-model benchmarks/control research; provider-specific effect size not yet measured by CPCS,high,not_run_no_authorized_provider_credentials_or_budget_in_session
failure://m/negative_prompt_concept_priming/1,M,Prompt and serialization,Negative instruction introduces or preserves forbidden content,The prompt repeatedly names forbidden objects/actions/effects.,The forbidden concept appears or attention is diverted from positive target behavior.,L0,Prefer a positive replacement state and provider-specific negative field only when documented; do not generalize deprecated-model guidance.,L6,"Move the unstable effect, shake, audio event, graphic discontinuity, or exact geometry to deterministic postproduction/compositing.",metric_field_projection_coverage metric_hard_lock_retention metric_prompt_semantic_equivalence metric_prompt_truncation_loss,supported by cross-model benchmarks/control research; provider-specific effect size not yet measured by CPCS,low,not_run_no_authorized_provider_credentials_or_budget_in_session
failure://m/prompt_rewrite_semantic_loss/1,M,Prompt and serialization,Provider prompt rewriting changes canonical intent,The endpoint silently enhances or rewrites a short prompt.,"New actions/details appear, priorities shift, or hard locks weaken.",L1,"Disable rewriting where possible, record the setting, hash the exact request, and reject providers that cannot preserve hard-lock meaning for critical shots.",L6,"Move the unstable effect, shake, audio event, graphic discontinuity, or exact geometry to deterministic postproduction/compositing.",metric_field_projection_coverage metric_hard_lock_retention metric_prompt_semantic_equivalence metric_prompt_truncation_loss,supported by cross-model benchmarks/control research; provider-specific effect size not yet measured by CPCS,moderate,not_run_no_authorized_provider_credentials_or_budget_in_session
failure://m/prompt_budget_truncation/1,M,Prompt and serialization,Prompt-budget overflow or truncation,Long nested prompts exceed provider or aggregator limits.,"Late constraints, end state, or forbidden variation disappear.",L1,"Compile by priority, never drop hard locks, emit an explicit loss report, and split the shot when minimum sufficient semantics do not fit.",L6,"Move the unstable effect, shake, audio event, graphic discontinuity, or exact geometry to deterministic postproduction/compositing.",metric_field_projection_coverage metric_hard_lock_retention metric_prompt_semantic_equivalence metric_prompt_truncation_loss,supported by cross-model benchmarks/control research; provider-specific effect size not yet measured by CPCS,high,not_run_no_authorized_provider_credentials_or_budget_in_session
failure://n/overconstraint_priority_dilution/1,N,Constraint overload and under-specification,Overconstraint and priority dilution,"Too many exact actions, camera moves, effects, spatial locks, and negatives share one clip.","Motion stiffens, instructions are randomly ignored, or the scene fails to complete.",L5,"Classify hard/soft/evaluation-only controls, remove duplicated semantics, and decompose the shot when calibrated complexity limits are exceeded.",L6,"Move the unstable effect, shake, audio event, graphic discontinuity, or exact geometry to deterministic postproduction/compositing.",metric_constraint_conflict_count metric_hallucinated_action_rate metric_instruction_coverage metric_primary_action_completion,supported by cross-model benchmarks/control research; provider-specific effect size not yet measured by CPCS,high,not_run_no_authorized_provider_credentials_or_budget_in_session
failure://n/under_specified_filler/1,N,Constraint overload and under-specification,Under-specified filler action,The prompt defines a start and one action but leaves duration/end state open.,"The model adds gestures, attacks, dialogue, effects, or scene changes.",L1,"Declare terminal state, hold behavior, allowed variation, and forbidden new primary actions; shorten duration.",L6,"Move the unstable effect, shake, audio event, graphic discontinuity, or exact geometry to deterministic postproduction/compositing.",metric_constraint_conflict_count metric_hallucinated_action_rate metric_instruction_coverage metric_primary_action_completion,supported by cross-model benchmarks/control research; provider-specific effect size not yet measured by CPCS,high,not_run_no_authorized_provider_credentials_or_budget_in_session
failure://n/contradictory_constraints/1,N,Constraint overload and under-specification,Contradictory canonical constraints,"Two profiles or representations demand incompatible positions, motion, camera, or timing.","The model averages, selects randomly, or produces broken geometry.",L2,"Fail closed at compile time, expose the conflict, and require one explicit resolution before provider submission.",L6,"Move the unstable effect, shake, audio event, graphic discontinuity, or exact geometry to deterministic postproduction/compositing.",metric_constraint_conflict_count metric_hallucinated_action_rate metric_instruction_coverage metric_primary_action_completion,supported by cross-model benchmarks/control research; provider-specific effect size not yet measured by CPCS,high,not_run_no_authorized_provider_credentials_or_budget_in_session
failure://n/action_density_overflow/1,N,Constraint overload and under-specification,Action-density overflow,Many dependent events are packed into a short clip.,"Actions merge, omit, reverse, or lose recovery.",L5,Run a provider-specific staircase to estimate capacity; split before the first statistically reliable failure point instead of using a universal actions-per-second rule.,L6,"Move the unstable effect, shake, audio event, graphic discontinuity, or exact geometry to deterministic postproduction/compositing.",metric_constraint_conflict_count metric_hallucinated_action_rate metric_instruction_coverage metric_primary_action_completion,supported by cross-model benchmarks/control research; provider-specific effect size not yet measured by CPCS,high,not_run_no_authorized_provider_credentials_or_budget_in_session
failure://n/multi_actor_complexity_overflow/1,N,Constraint overload and under-specification,Multi-actor interaction overload,"Several actors have simultaneous, crossing, or contact-heavy actions.","Role swaps, count drift, fusion, and target confusion increase together.",L5,"Reduce simultaneous actors/actions, enforce lanes, and use separate shots or source/control video for dense choreography.",L6,"Move the unstable effect, shake, audio event, graphic discontinuity, or exact geometry to deterministic postproduction/compositing.",metric_constraint_conflict_count metric_hallucinated_action_rate metric_instruction_coverage metric_primary_action_completion metric_role_assignment_accuracy,supported by cross-model benchmarks/control research; provider-specific effect size not yet measured by CPCS,high,not_run_no_authorized_provider_credentials_or_budget_in_session
failure://n/camera_effect_choreography_overflow/1,N,Constraint overload and under-specification,"Camera, VFX, and choreography overload","Complex camera motion, actor interaction, material effects, and edits coincide.","The system sacrifices motion, identity, geography, or effect causality.",L6,"Generate stable choreography first, then apply camera/VFX/edit layers through controlled V2V or postproduction.",L8,Use a provider/model with an officially documented control input matching the missing constraint and rerun qualification.,metric_constraint_conflict_count metric_hallucinated_action_rate metric_instruction_coverage metric_primary_action_completion,supported by cross-model benchmarks/control research; provider-specific effect size not yet measured by CPCS,high,not_run_no_authorized_provider_credentials_or_budget_in_session
failure://o/impact_sound_offset/1,O,Audio and cross-modal synchronization,Impact sound temporal offset,A fast contact or near-contact should trigger a sound.,Sound precedes or lags the visual event beyond tolerance.,L2,Use canonical audio event anchors tied to visual event IDs and verify onset offset; replace sound in post when timing is critical.,L6,"Move the unstable effect, shake, audio event, graphic discontinuity, or exact geometry to deterministic postproduction/compositing.",metric_audio_visual_semantic_match metric_audio_visual_temporal_offset metric_lip_speech_consistency metric_voice_identity_consistency,supported by cross-model benchmarks/control research; provider-specific effect size not yet measured by CPCS,high,not_run_no_authorized_provider_credentials_or_budget_in_session
failure://o/lip_speech_mismatch/1,O,Audio and cross-modal synchronization,Lip-speech mismatch,"Dialogue contains phonetic complexity, profile view, fast cuts, or multiple speakers.",Mouth motion does not match speech timing/content.,L4,Use a driving performance/dedicated lip-sync system or generate clean visuals and dub; measure temporal and phonetic agreement separately.,L6,"Move the unstable effect, shake, audio event, graphic discontinuity, or exact geometry to deterministic postproduction/compositing.",metric_audio_visual_semantic_match metric_audio_visual_temporal_offset metric_lip_speech_consistency metric_voice_identity_consistency,supported by cross-model benchmarks/control research; provider-specific effect size not yet measured by CPCS,high,not_run_no_authorized_provider_credentials_or_budget_in_session
failure://o/sound_without_visual_cause/1,O,Audio and cross-modal synchronization,Sound without visual cause,Joint generation is asked for ambience/effects while actions are ambiguous.,"An impact, splash, step, or mechanical sound occurs without the event.",L2,Bind every foreground sound to a visual event or explicitly classify it as off-screen/ambient.,L6,"Move the unstable effect, shake, audio event, graphic discontinuity, or exact geometry to deterministic postproduction/compositing.",metric_audio_visual_semantic_match metric_audio_visual_temporal_offset metric_lip_speech_consistency metric_voice_identity_consistency,supported by cross-model benchmarks/control research; provider-specific effect size not yet measured by CPCS,high,not_run_no_authorized_provider_credentials_or_budget_in_session
failure://o/visual_event_without_sound/1,O,Audio and cross-modal synchronization,Visual event lacks required sound,"A salient impact, splash, door, or speech event occurs.",Expected audio is absent or masked.,L6,Retain event metadata and synthesize/mix deterministic sound in post; verify presence and onset.,L8,Use a provider/model with an officially documented control input matching the missing constraint and rerun qualification.,metric_audio_visual_semantic_match metric_audio_visual_temporal_offset metric_lip_speech_consistency metric_voice_identity_consistency,supported by cross-model benchmarks/control research; provider-specific effect size not yet measured by CPCS,moderate,not_run_no_authorized_provider_credentials_or_budget_in_session
failure://o/speaker_voice_drift/1,O,Audio and cross-modal synchronization,Speaker or voice drift,Multi-shot or multi-speaker dialogue changes camera view or scene.,"Voice identity, language, accent, or turn assignment changes.",L3,Use speaker-specific voice references and turn IDs; separate dialogue production from video generation when exact casting matters.,L6,"Move the unstable effect, shake, audio event, graphic discontinuity, or exact geometry to deterministic postproduction/compositing.",metric_audio_visual_semantic_match metric_audio_visual_temporal_offset metric_lip_speech_consistency metric_voice_identity_consistency,supported by cross-model benchmarks/control research; provider-specific effect size not yet measured by CPCS,moderate,not_run_no_authorized_provider_credentials_or_budget_in_session
failure://o/music_action_accent_misalignment/1,O,Audio and cross-modal synchronization,Music or beat accent misalignment,"Choreography, cuts, or impacts must land on musical beats.",Visual apex/cut occurs off beat.,L4,Use a timecoded beat map/control track and edit generated clips to the beat; verify event-to-beat offset.,L6,"Move the unstable effect, shake, audio event, graphic discontinuity, or exact geometry to deterministic postproduction/compositing.",metric_audio_visual_semantic_match metric_audio_visual_temporal_offset metric_lip_speech_consistency metric_voice_identity_consistency,supported by cross-model benchmarks/control research; provider-specific effect size not yet measured by CPCS,high,not_run_no_authorized_provider_credentials_or_budget_in_session
failure://p/vlm_misses_fast_action/1,P,Verification and evaluator failure,VLM misses or reorders fast action,"Contact, flashes, smears, or events occupy very few frames.",The evaluator omits the event or reports the wrong order.,L2,"Use high-rate interval extraction, atomic questions, detector evidence, and human review for fast decisive events.",L6,"Move the unstable effect, shake, audio event, graphic discontinuity, or exact geometry to deterministic postproduction/compositing.",metric_evaluator_calibration metric_false_negative_rate metric_false_positive_rate metric_human_agreement,supported by cross-model benchmarks/control research; provider-specific effect size not yet measured by CPCS,high,not_run_no_authorized_provider_credentials_or_budget_in_session
failure://p/vlm_invents_contact/1,P,Verification and evaluator failure,VLM invents contact from screen overlap,Perspective or blur makes actors overlap without physical contact.,Evaluator marks a hit/grasp that did not occur.,L4,Require pose/depth/distance evidence and human calibration; do not let semantic verdict alone decide contact.,L6,"Move the unstable effect, shake, audio event, graphic discontinuity, or exact geometry to deterministic postproduction/compositing.",metric_evaluator_calibration metric_false_negative_rate metric_false_positive_rate metric_human_agreement,supported by cross-model benchmarks/control research; provider-specific effect size not yet measured by CPCS,high,not_run_no_authorized_provider_credentials_or_budget_in_session
