failure_id,failure_code,failure_name,existing_owner,existing_coverage,missing_evidence,missing_mitigation,missing_test,recommended_owner,integration_class
"failure://fluid, material, and vfx/water_level_topology_wetness_or_ripple_state_drift/g07",G07,"Water level, topology, wetness, or ripple-state drift",lab/compiler/schemas/universal_score.schema.json#interactions + motion + style + continuity; lab/verification,partial,No provider/version repeated-seed CPCS qualification with raw retained outputs; literature/benchmark coverage is task-scoped.,"Material state/lifecycle contracts, solid-fluid event primitives, simulation/post policies","Run fixture://g07/minimal_trigger, fixture://g07/paired_control, and fixture://g07/escalated_control across selected provider/version cells.",lab/compiler/schemas/universal_score.schema.json#interactions + motion + style + continuity; lab/verification,contract_affecting;implementation_affecting;verification_affecting
"failure://camera, edit, and anime discontinuity/camera_pan_or_tracking_becomes_actor_world_movement/h01",H01,Camera pan or tracking becomes actor/world movement,lab/compiler/schemas/universal_score.schema.json#camera + editing + style + motion + continuity; lab/verification,partial,No provider/version repeated-seed CPCS qualification with raw retained outputs; literature/benchmark coverage is task-scoped.,"Graphic-vs-world discontinuity typing, camera/actor track separation, recovery-frame metrics","Run fixture://h01/minimal_trigger, fixture://h01/paired_control, and fixture://h01/escalated_control across selected provider/version cells.",lab/compiler/schemas/universal_score.schema.json#camera + editing + style + motion + continuity; lab/verification,contract_affecting;implementation_affecting;verification_affecting
"failure://camera, edit, and anime discontinuity/zoom_lens_change_causes_scale_or_geometry_inconsistency/h02",H02,Zoom/lens change causes scale or geometry inconsistency,lab/compiler/schemas/universal_score.schema.json#camera + editing + style + motion + continuity; lab/verification,partial,No provider/version repeated-seed CPCS qualification with raw retained outputs; literature/benchmark coverage is task-scoped.,"Graphic-vs-world discontinuity typing, camera/actor track separation, recovery-frame metrics","Run fixture://h02/minimal_trigger, fixture://h02/paired_control, and fixture://h02/escalated_control across selected provider/version cells.",lab/compiler/schemas/universal_score.schema.json#camera + editing + style + motion + continuity; lab/verification,contract_affecting;implementation_affecting;verification_affecting
"failure://camera, edit, and anime discontinuity/tilt_whip_orbit_or_shake_induces_teleportation_or_axis_error/h03",H03,"Tilt, whip, orbit, or shake induces teleportation or axis error",lab/compiler/schemas/universal_score.schema.json#camera + editing + style + motion + continuity; lab/verification,partial,No provider/version repeated-seed CPCS qualification with raw retained outputs; literature/benchmark coverage is task-scoped.,"Graphic-vs-world discontinuity typing, camera/actor track separation, recovery-frame metrics","Run fixture://h03/minimal_trigger, fixture://h03/paired_control, and fixture://h03/escalated_control across selected provider/version cells.",lab/compiler/schemas/universal_score.schema.json#camera + editing + style + motion + continuity; lab/verification,contract_affecting;implementation_affecting;verification_affecting
"failure://camera, edit, and anime discontinuity/motion_blur_destroys_identity_or_topology/h04",H04,Motion blur destroys identity or topology,lab/compiler/schemas/universal_score.schema.json#camera + editing + style + motion + continuity; lab/verification,partial,No provider/version repeated-seed CPCS qualification with raw retained outputs; literature/benchmark coverage is task-scoped.,"Graphic-vs-world discontinuity typing, camera/actor track separation, recovery-frame metrics","Run fixture://h04/minimal_trigger, fixture://h04/paired_control, and fixture://h04/escalated_control across selected provider/version cells.",lab/compiler/schemas/universal_score.schema.json#camera + editing + style + motion + continuity; lab/verification,contract_affecting;implementation_affecting;verification_affecting
"failure://camera, edit, and anime discontinuity/flash_wipe_black_frame_or_cut_causes_scene_reset/h05",H05,"Flash, wipe, black frame, or cut causes scene reset",lab/compiler/schemas/universal_score.schema.json#camera + editing + style + motion + continuity; lab/verification,partial,No provider/version repeated-seed CPCS qualification with raw retained outputs; literature/benchmark coverage is task-scoped.,"Graphic-vs-world discontinuity typing, camera/actor track separation, recovery-frame metrics","Run fixture://h05/minimal_trigger, fixture://h05/paired_control, and fixture://h05/escalated_control across selected provider/version cells.",lab/compiler/schemas/universal_score.schema.json#camera + editing + style + motion + continuity; lab/verification,contract_affecting;implementation_affecting;verification_affecting
"failure://camera, edit, and anime discontinuity/smear_or_perspective_deformation_persists_as_anatomy/h06",H06,Smear or perspective deformation persists as anatomy,lab/compiler/schemas/universal_score.schema.json#camera + editing + style + motion + continuity; lab/verification,partial,No provider/version repeated-seed CPCS qualification with raw retained outputs; literature/benchmark coverage is task-scoped.,"Graphic-vs-world discontinuity typing, camera/actor track separation, recovery-frame metrics","Run fixture://h06/minimal_trigger, fixture://h06/paired_control, and fixture://h06/escalated_control across selected provider/version cells.",lab/compiler/schemas/universal_score.schema.json#camera + editing + style + motion + continuity; lab/verification,contract_affecting;implementation_affecting;verification_affecting
"failure://camera, edit, and anime discontinuity/post_effect_anatomy_identity_or_style_recovery_failure/h07",H07,"Post-effect anatomy, identity, or style recovery failure",lab/compiler/schemas/universal_score.schema.json#camera + editing + style + motion + continuity; lab/verification,partial,No provider/version repeated-seed CPCS qualification with raw retained outputs; literature/benchmark coverage is task-scoped.,"Graphic-vs-world discontinuity typing, camera/actor track separation, recovery-frame metrics","Run fixture://h07/minimal_trigger, fixture://h07/paired_control, and fixture://h07/escalated_control across selected provider/version cells.",lab/compiler/schemas/universal_score.schema.json#camera + editing + style + motion + continuity; lab/verification,contract_affecting;implementation_affecting;verification_affecting
failure://prompt and attention budget/constraint_overload/i01,I01,Constraint overload,lab/compiler + lab/FORMAT_CONTROL_MAP.md + provider profiles/adapters,partial,No provider/version repeated-seed CPCS qualification with raw retained outputs; literature/benchmark coverage is task-scoped.,"Attention-budget compiler, generalized provider capabilities, controlled format ablations","Run fixture://i01/minimal_trigger, fixture://i01/paired_control, and fixture://i01/escalated_control across selected provider/version cells.",lab/compiler + lab/FORMAT_CONTROL_MAP.md + provider profiles/adapters,contract_affecting;implementation_affecting;verification_affecting
failure://prompt and attention budget/under_specification_and_hallucinated_filler/i02,I02,Under-specification and hallucinated filler,lab/compiler + lab/FORMAT_CONTROL_MAP.md + provider profiles/adapters,partial,No provider/version repeated-seed CPCS qualification with raw retained outputs; literature/benchmark coverage is task-scoped.,"Attention-budget compiler, generalized provider capabilities, controlled format ablations","Run fixture://i02/minimal_trigger, fixture://i02/paired_control, and fixture://i02/escalated_control across selected provider/version cells.",lab/compiler + lab/FORMAT_CONTROL_MAP.md + provider profiles/adapters,contract_affecting;implementation_affecting;verification_affecting
failure://prompt and attention budget/contradictory_instructions_or_impossible_constraint_set/i03,I03,Contradictory instructions or impossible constraint set,lab/compiler + lab/FORMAT_CONTROL_MAP.md + provider profiles/adapters,partial,No provider/version repeated-seed CPCS qualification with raw retained outputs; literature/benchmark coverage is task-scoped.,"Attention-budget compiler, generalized provider capabilities, controlled format ablations","Run fixture://i03/minimal_trigger, fixture://i03/paired_control, and fixture://i03/escalated_control across selected provider/version cells.",lab/compiler + lab/FORMAT_CONTROL_MAP.md + provider profiles/adapters,contract_affecting;implementation_affecting;verification_affecting
failure://prompt and attention budget/duplicate_format_semantic_competition/i04,I04,Duplicate-format semantic competition,lab/compiler + lab/FORMAT_CONTROL_MAP.md + provider profiles/adapters,partial,No provider/version repeated-seed CPCS qualification with raw retained outputs; literature/benchmark coverage is task-scoped.,"Attention-budget compiler, generalized provider capabilities, controlled format ablations","Run fixture://i04/minimal_trigger, fixture://i04/paired_control, and fixture://i04/escalated_control across selected provider/version cells.",lab/compiler + lab/FORMAT_CONTROL_MAP.md + provider profiles/adapters,contract_affecting;implementation_affecting;verification_affecting
failure://prompt and attention budget/negative_instruction_leakage/i05,I05,Negative-instruction leakage,lab/compiler + lab/FORMAT_CONTROL_MAP.md + provider profiles/adapters,partial,No provider/version repeated-seed CPCS qualification with raw retained outputs; literature/benchmark coverage is task-scoped.,"Attention-budget compiler, generalized provider capabilities, controlled format ablations","Run fixture://i05/minimal_trigger, fixture://i05/paired_control, and fixture://i05/escalated_control across selected provider/version cells.",lab/compiler + lab/FORMAT_CONTROL_MAP.md + provider profiles/adapters,contract_affecting;implementation_affecting;verification_affecting
failure://prompt and attention budget/numeric_precision_illusion/i06,I06,Numeric precision illusion,lab/compiler + lab/FORMAT_CONTROL_MAP.md + provider profiles/adapters,partial,No provider/version repeated-seed CPCS qualification with raw retained outputs; literature/benchmark coverage is task-scoped.,"Attention-budget compiler, generalized provider capabilities, controlled format ablations","Run fixture://i06/minimal_trigger, fixture://i06/paired_control, and fixture://i06/escalated_control across selected provider/version cells.",lab/compiler + lab/FORMAT_CONTROL_MAP.md + provider profiles/adapters,contract_affecting;implementation_affecting;verification_affecting
failure://audio and evaluator/audio_event_lead_or_lag/j01,J01,Audio event lead or lag,lab/compiler/schemas/universal_score.schema.json#audio + verification_requirements; lab/verification,partial,No provider/version repeated-seed CPCS qualification with raw retained outputs; literature/benchmark coverage is task-scoped.,"Audio event ledger, evaluator catalog/calibration, conflict policy, unobservable gates","Run fixture://j01/minimal_trigger, fixture://j01/paired_control, and fixture://j01/escalated_control across selected provider/version cells.",lab/compiler/schemas/universal_score.schema.json#audio + verification_requirements; lab/verification,contract_affecting;implementation_affecting;verification_affecting
failure://audio and evaluator/speech_lip_synchronization_mismatch/j02,J02,Speech–lip synchronization mismatch,lab/compiler/schemas/universal_score.schema.json#audio + verification_requirements; lab/verification,partial,No provider/version repeated-seed CPCS qualification with raw retained outputs; literature/benchmark coverage is task-scoped.,"Audio event ledger, evaluator catalog/calibration, conflict policy, unobservable gates","Run fixture://j02/minimal_trigger, fixture://j02/paired_control, and fixture://j02/escalated_control across selected provider/version cells.",lab/compiler/schemas/universal_score.schema.json#audio + verification_requirements; lab/verification,contract_affecting;implementation_affecting;verification_affecting
failure://audio and evaluator/sound_hallucination_omission_or_wrong_source/j03,J03,"Sound hallucination, omission, or wrong source",lab/compiler/schemas/universal_score.schema.json#audio + verification_requirements; lab/verification,partial,No provider/version repeated-seed CPCS qualification with raw retained outputs; literature/benchmark coverage is task-scoped.,"Audio event ledger, evaluator catalog/calibration, conflict policy, unobservable gates","Run fixture://j03/minimal_trigger, fixture://j03/paired_control, and fixture://j03/escalated_control across selected provider/version cells.",lab/compiler/schemas/universal_score.schema.json#audio + verification_requirements; lab/verification,contract_affecting;implementation_affecting;verification_affecting
failure://audio and evaluator/vlm_misses_fast_action_or_invents_contact/j04,J04,VLM misses fast action or invents contact,lab/compiler/schemas/universal_score.schema.json#audio + verification_requirements; lab/verification,partial,No provider/version repeated-seed CPCS qualification with raw retained outputs; literature/benchmark coverage is task-scoped.,"Audio event ledger, evaluator catalog/calibration, conflict policy, unobservable gates","Run fixture://j04/minimal_trigger, fixture://j04/paired_control, and fixture://j04/escalated_control across selected provider/version cells.",lab/compiler/schemas/universal_score.schema.json#audio + verification_requirements; lab/verification,contract_affecting;implementation_affecting;verification_affecting
failure://audio and evaluator/tracker_identity_swap_or_occlusion_loss/j05,J05,Tracker identity swap or occlusion loss,lab/compiler/schemas/universal_score.schema.json#audio + verification_requirements; lab/verification,partial,No provider/version repeated-seed CPCS qualification with raw retained outputs; literature/benchmark coverage is task-scoped.,"Audio event ledger, evaluator catalog/calibration, conflict policy, unobservable gates","Run fixture://j05/minimal_trigger, fixture://j05/paired_control, and fixture://j05/escalated_control across selected provider/version cells.",lab/compiler/schemas/universal_score.schema.json#audio + verification_requirements; lab/verification,contract_affecting;implementation_affecting;verification_affecting
failure://audio and evaluator/shot_detector_mistakes_flash_black_frame_smear_or_wipe_for_a_cut/j06,J06,"Shot detector mistakes flash, black frame, smear, or wipe for a cut",lab/compiler/schemas/universal_score.schema.json#audio + verification_requirements; lab/verification,partial,No provider/version repeated-seed CPCS qualification with raw retained outputs; literature/benchmark coverage is task-scoped.,"Audio event ledger, evaluator catalog/calibration, conflict policy, unobservable gates","Run fixture://j06/minimal_trigger, fixture://j06/paired_control, and fixture://j06/escalated_control across selected provider/version cells.",lab/compiler/schemas/universal_score.schema.json#audio + verification_requirements; lab/verification,contract_affecting;implementation_affecting;verification_affecting
failure://audio and evaluator/pose_or_segmentation_evaluator_fails_out_of_distribution/j07,J07,Pose or segmentation evaluator fails out of distribution,lab/compiler/schemas/universal_score.schema.json#audio + verification_requirements; lab/verification,partial,No provider/version repeated-seed CPCS qualification with raw retained outputs; literature/benchmark coverage is task-scoped.,"Audio event ledger, evaluator catalog/calibration, conflict policy, unobservable gates","Run fixture://j07/minimal_trigger, fixture://j07/paired_control, and fixture://j07/escalated_control across selected provider/version cells.",lab/compiler/schemas/universal_score.schema.json#audio + verification_requirements; lab/verification,contract_affecting;implementation_affecting;verification_affecting
failure://audio and evaluator/human_rating_ambiguity_or_disagreement/j08,J08,Human rating ambiguity or disagreement,lab/compiler/schemas/universal_score.schema.json#audio + verification_requirements; lab/verification,partial,No provider/version repeated-seed CPCS qualification with raw retained outputs; literature/benchmark coverage is task-scoped.,"Audio event ledger, evaluator catalog/calibration, conflict policy, unobservable gates","Run fixture://j08/minimal_trigger, fixture://j08/paired_control, and fixture://j08/escalated_control across selected provider/version cells.",lab/compiler/schemas/universal_score.schema.json#audio + verification_requirements; lab/verification,contract_affecting;implementation_affecting;verification_affecting
