failure_id,failure_name,existing_owner,existing_coverage,missing_evidence,missing_mitigation,missing_test,recommended_owner,parallel_owner_prohibited
failure://n/camera_effect_choreography_overflow/1,"Camera, VFX, and choreography overload",lab/compiler constraints/warnings/loss report; shot planner; lab/experiments capacity staircases,partial,No CPCS repeated-seed provider/model/version distribution is recorded for this exact failure fixture.,Compiler has authority/loss surfaces but lacks calibrated provider-specific attention and complexity limits.,fixture://failure/n/camera_effect_choreography_overflow/v1,compiler + loss report + shot planner,true
failure://o/impact_sound_offset/1,Impact sound temporal offset,lab/compiler audio/actions/beats; lab/verification AV anchors,partial,No CPCS repeated-seed provider/model/version distribution is recorded for this exact failure fixture.,"Existing canonical owners exist, but the named failure contract and escalation rule are not yet first-class.",fixture://failure/o/impact_sound_offset/v1,audio + actions + verification,true
failure://o/lip_speech_mismatch/1,Lip-speech mismatch,lab/compiler audio/actions/beats; lab/verification AV anchors,partial,No CPCS repeated-seed provider/model/version distribution is recorded for this exact failure fixture.,"Existing canonical owners exist, but the named failure contract and escalation rule are not yet first-class.",fixture://failure/o/lip_speech_mismatch/v1,audio + actions + verification,true
failure://o/sound_without_visual_cause/1,Sound without visual cause,lab/compiler audio/actions/beats; lab/verification AV anchors,partial,No CPCS repeated-seed provider/model/version distribution is recorded for this exact failure fixture.,"Existing canonical owners exist, but the named failure contract and escalation rule are not yet first-class.",fixture://failure/o/sound_without_visual_cause/v1,audio + actions + verification,true
failure://o/visual_event_without_sound/1,Visual event lacks required sound,lab/compiler audio/actions/beats; lab/verification AV anchors,partial,No CPCS repeated-seed provider/model/version distribution is recorded for this exact failure fixture.,"Existing canonical owners exist, but the named failure contract and escalation rule are not yet first-class.",fixture://failure/o/visual_event_without_sound/v1,audio + actions + verification,true
failure://o/speaker_voice_drift/1,Speaker or voice drift,lab/compiler audio/actions/beats; lab/verification AV anchors,partial,No CPCS repeated-seed provider/model/version distribution is recorded for this exact failure fixture.,"Existing canonical owners exist, but the named failure contract and escalation rule are not yet first-class.",fixture://failure/o/speaker_voice_drift/v1,audio + actions + verification,true
failure://o/music_action_accent_misalignment/1,Music or beat accent misalignment,lab/compiler audio/actions/beats; lab/verification AV anchors,partial,No CPCS repeated-seed provider/model/version distribution is recorded for this exact failure fixture.,"Existing canonical owners exist, but the named failure contract and escalation rule are not yet first-class.",fixture://failure/o/music_action_accent_misalignment/v1,audio + actions + verification,true
failure://p/vlm_misses_fast_action/1,VLM misses or reorders fast action,lab/verification; lab/second_brain immutable evidence and human calibration,partial,No CPCS repeated-seed provider/model/version distribution is recorded for this exact failure fixture.,Failure-specific evaluator arbitration and calibration policy are not yet complete.,fixture://failure/p/vlm_misses_fast_action/v1,verification + immutable evidence + human calibration,true
failure://p/vlm_invents_contact/1,VLM invents contact from screen overlap,lab/verification; lab/second_brain immutable evidence and human calibration,partial,No CPCS repeated-seed provider/model/version distribution is recorded for this exact failure fixture.,Failure-specific evaluator arbitration and calibration policy are not yet complete.,fixture://failure/p/vlm_invents_contact/v1,verification + immutable evidence + human calibration,true
failure://p/tracker_identity_swap/1,Tracker or segmenter swaps actor identity,lab/verification; lab/second_brain immutable evidence and human calibration,partial,No CPCS repeated-seed provider/model/version distribution is recorded for this exact failure fixture.,Failure-specific evaluator arbitration and calibration policy are not yet complete.,fixture://failure/p/tracker_identity_swap/v1,verification + immutable evidence + human calibration,true
failure://p/shot_detector_flash_false_positive/1,Shot detector mistakes flash or smear for cut,lab/verification; lab/second_brain immutable evidence and human calibration,partial,No CPCS repeated-seed provider/model/version distribution is recorded for this exact failure fixture.,Failure-specific evaluator arbitration and calibration policy are not yet complete.,fixture://failure/p/shot_detector_flash_false_positive/v1,verification + immutable evidence + human calibration,true
failure://p/pose_metric_stylization_failure/1,Pose/anatomy metric fails on anime or stylization,lab/verification; lab/second_brain immutable evidence and human calibration,partial,No CPCS repeated-seed provider/model/version distribution is recorded for this exact failure fixture.,Failure-specific evaluator arbitration and calibration policy are not yet complete.,fixture://failure/p/pose_metric_stylization_failure/v1,verification + immutable evidence + human calibration,true
failure://p/aggregate_metric_hides_local_failure/1,Aggregate score hides a decisive localized failure,lab/verification; lab/second_brain immutable evidence and human calibration,partial,No CPCS repeated-seed provider/model/version distribution is recorded for this exact failure fixture.,Failure-specific evaluator arbitration and calibration policy are not yet complete.,fixture://failure/p/aggregate_metric_hides_local_failure/v1,verification + immutable evidence + human calibration,true
